Value,ru,Disaggregation combinations using this value,Number of indicators
Mode of Transport: Air,Вид транспорта: Воздушный,2,1
Mode of Transport: Bus,Вид транспорта: Автобус,2,1
Mode of Transport: Rail,Вид транспорта: Железнодорожный,2,1
Mode of Transport: Taxi,Вид транспорта: Такси,2,1
Mode of Transport: Trolley bus,Вид транспорта: Троллейбус,2,1
