Value,ru,Disaggregation combinations using this value,Number of indicators
Kyrgyzstan,Киргизия,11,3
Issyk-Kul,Иссык-Кульская область,7,3
Jalal-Abad,Джалал-Абадская область,7,3
Naryn,Нарынская область,7,3
Batken,Баткенская область,7,3
Osh,Ошская область,7,3
Talas,Таласская область,7,3
Chui,Чуйская область,7,3
Bishkek (city),г. Бишкек,7,3
Osh (city),г. Ош,7,3
